"filename", "language", "vue", "JavaScript", "SCSS", "JSON", "comment", "blank", "total"
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\composables\useFormSubmitManager.js", "JavaScript", 0, 100, 0, 0, 1, 26, 127
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\composables\useSubmissions.js", "JavaScript", 0, 19, 0, 0, 0, 5, 24
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\index.js", "JavaScript", 0, 14, 0, 0, 0, 1, 15
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\models\Form.js", "JavaScript", 0, 73, 0, 0, 0, 15, 88
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\models\FormQuestion.js", "JavaScript", 0, 87, 0, 0, 10, 17, 114
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\models\FormSettings.js", "JavaScript", 0, 131, 0, 0, 3, 29, 163
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\views\EditFormView.vue", "vue", 25, 0, 0, 0, 0, 3, 28
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\views\FormSubmitView.vue", "vue", 32, 0, 0, 0, 0, 4, 36
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\views\FormsListView.vue", "vue", 14, 0, 0, 0, 0, 0, 14
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\views\FormsView.vue", "vue", 8, 0, 0, 0, 0, 0, 8
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\views\NewFormView.vue", "vue", 14, 0, 0, 0, 0, 1, 15
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\modules\Forms\views\SubmissionsListView.vue", "vue", 14, 0, 0, 0, 0, 1, 15
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\plugins\eventBus.js", "JavaScript", 0, 7, 0, 0, 0, 2, 9
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\plugins\i18n.js", "JavaScript", 0, 54, 0, 0, 6, 21, 81
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\plugins\vuetify.js", "JavaScript", 0, 30, 0, 0, 3, 4, 37
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\plugins\webfontloader.js", "JavaScript", 0, 8, 0, 0, 5, 3, 16
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\router\index.js", "JavaScript", 0, 2, 0, 0, 0, 2, 4
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\router\router.js", "JavaScript", 0, 54, 0, 0, 2, 8, 64
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\services\apiService.js", "JavaScript", 0, 40, 0, 0, 0, 12, 52
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\services\errorParser.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\services\formManager\formField.js", "JavaScript", 0, 175, 0, 0, 0, 44, 219
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\services\formManager\formFieldSet.js", "JavaScript", 0, 98, 0, 0, 0, 22, 120
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\services\formManager\formManagerService.js", "JavaScript", 0, 151, 0, 0, 1, 40, 192
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\services\formManager\formValidators.js", "JavaScript", 0, 18, 0, 0, 0, 5, 23
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\services\loggerService.js", "JavaScript", 0, 36, 0, 0, 2, 8, 46
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\services\requestService.js", "JavaScript", 0, 43, 0, 0, 0, 10, 53
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\stores\applicationStore.js", "JavaScript", 0, 33, 0, 0, 0, 11, 44
"c:\Users\danii\OneDrive\Desktop\diploma\testo-front\src\views\Submissions.vue", "vue", 0, 0, 0, 0, 0, 1, 1
"Total", "-", 4704, 2038, 282, 131, 226, 1031, 8412
